Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
X,2001.0,Shooter,4.98,1.3,0.08,0.07,6.43
PS3,2011.0,Role-Playing,2.56,2.61,0.25,1.0,6.42
GBA,2004.0,Role-Playing,2.57,1.58,2.06,0.21,6.41
PS2,2002.0,Role-Playing,3.64,1.2,1.49,0.07,6.4
G,2000.0,Role-Playing,2.55,1.56,1.29,0.99,6.39
X360,2010.0,Action,3.71,1.97,0.09,0.58,6.35
X360,2009.0,Shooter,4.34,1.34,0.06,0.61,6.34
GC,2002.0,Platform,4.01,1.26,0.87,0.17,6.31
PC,2004.0,Role-Playing,0.09,6.22,0.0,0.0,6.31
SNES,1992.0,Fighting,2.47,0.83,2.87,0.12,6.3
PS,1999.0,Action,3.11,2.8,0.02,0.33,6.27
X360,2011.0,Shooter,4.05,1.59,0.07,0.5,6.21
X360,2010.0,Sports,3.92,1.73,0.03,0.51,6.19
X360,2006.0,Shooter,3.54,1.88,0.07,0.6,6.09
PS4,2014.0,Sports,0.8,4.33,0.05,0.91,6.08
PS2,2001.0,Action,2.45,2.01,0.87,0.72,6.05
GEN,1992.0,Platform,4.47,1.2,0.16,0.19,6.03
PS,1998.0,Action,3.18,1.83,0.78,0.24,6.03
PS3,2008.0,Action,2.63,1.71,0.83,0.82,5.99
PS2,2006.0,Role-Playing,1.88,0.0,2.33,1.74,5.95
PS3,2013.0,Action,2.41,2.19,0.29,0.99,5.89
PS3,2008.0,Platform,2.8,1.98,0.17,0.87,5.82
PS,1998.0,Action,1.88,1.47,2.02,0.45,5.82
PS4,2016.0,Shooter,2.15,2.57,0.16,0.93,5.8
DS,2009.0,Role-Playing,0.63,0.67,4.35,0.15,5.78
PS,1996.0,Fighting,2.26,1.89,1.36,0.23,5.74
XOne,2014.0,Action,2.93,2.32,0.0,0.49,5.74
PS4,2014.0,Shooter,2.5,2.07,0.16,0.93,5.66
Wii,2007.0,Action,3.57,1.56,0.0,0.51,5.64
DS,2006.0,Simulation,3.08,1.91,0.07,0.57,5.64
NES,1988.0,Puzzle,2.97,0.69,1.81,0.11,5.58
N64,1999.0,Fighting,2.95,0.6,1.97,0.04,5.55
PS3,2009.0,Action,2.54,1.93,0.21,0.86,5.55
X360,2007.0,Adventure,3.28,1.64,0.07,0.56,5.54
X360,2009.0,Racing,2.99,1.9,0.1,0.5,5.49
GBA,2001.0,Platform,3.14,1.24,0.91,0.2,5.49
PS3,2011.0,Action,2.71,1.85,0.11,0.81,5.48
PSP,2008.0,Role-Playing,0.47,0.55,4.13,0.34,5.48
GBA,2001.0,Racing,2.62,1.64,0.99,0.23,5.47
GBA,2001.0,Platform,3.21,1.11,0.95,0.2,5.46
N64,1999.0,Strategy,3.18,1.24,0.94,0.09,5.45
PS2,2001.0,Platform,2.07,2.29,0.24,0.82,5.42
PS3,2014.0,Misc,2.1,2.42,0.0,0.89,5.41
PS3,2008.0,Shooter,2.73,1.83,0.0,0.83,5.4
3DS,2013.0,Simulation,0.99,2.23,1.91,0.25,5.39
G,1989.0,Puzzle,2.18,0.96,2.0,0.2,5.34
PS3,2009.0,Role-Playing,1.75,1.21,1.87,0.51,5.34
G,1999.0,Misc,3.02,1.12,1.01,0.16,5.31
PS,2000.0,Role-Playing,1.62,0.77,2.78,0.14,5.3
PS4,2016.0,Shooter,1.45,2.81,0.23,0.81,5.3
WiiU,2012.0,Platform,2.3,1.4,1.28,0.32,5.29
X360,2012.0,Action,3.13,1.69,0.03,0.44,5.29
PS2,2003.0,Role-Playing,1.92,1.08,2.11,0.17,5.29
XOne,2014.0,Shooter,3.24,1.55,0.01,0.48,5.28
N64,1999.0,Platform,3.33,0.79,1.09,0.06,5.27
X360,2009.0,Action,3.12,1.55,0.08,0.52,5.27
PS,1997.0,Action,2.3,2.46,0.2,0.28,5.24
PS2,2003.0,Sports,4.26,0.26,0.01,0.71,5.23
PS2,2004.0,Role-Playing,0.65,0.75,3.61,0.2,5.21
GBA,2003.0,Platform,2.93,1.25,0.83,0.2,5.2
DS,2007.0,Puzzle,1.21,2.43,1.03,0.52,5.19
G,1994.0,Platform,2.49,0.98,1.57,0.15,5.19
X360,2012.0,Action,1.09,3.47,0.03,0.58,5.17
PC,2012.0,Role-Playing,2.45,2.17,0.0,0.54,5.17
SNES,1995.0,Platform,2.1,0.74,2.2,0.11,5.15
PS2,2003.0,Shooter,1.98,2.23,0.13,0.8,5.13
G,1992.0,Platform,2.71,0.61,1.7,0.11,5.13
PC,1996.0,Simulation,3.22,1.69,0.0,0.2,5.12
PS2,2006.0,Misc,3.81,0.63,0.0,0.68,5.12
X360,2010.0,Role-Playing,3.59,1.08,0.05,0.38,5.1
DS,2008.0,Sports,1.63,2.45,0.44,0.57,5.09
PS3,2009.0,Action,1.96,1.41,1.08,0.64,5.09
DS,2007.0,Action,1.85,1.8,0.95,0.48,5.08
PS3,2010.0,Sports,0.61,3.28,0.06,1.12,5.07
G,1999.0,Platform,3.4,1.3,0.15,0.22,5.07
PS4,2014.0,Action,2.04,2.12,0.07,0.83,5.06
PS,1996.0,Action,2.05,1.16,1.11,0.73,5.05
PSP,2006.0,Action,1.7,1.99,0.16,1.19,5.03
PS,1999.0,Sports,3.42,1.38,0.02,0.2,5.02
PS,1999.0,Strategy,2.79,1.89,0.0,0.33,5.01
PS,1998.0,Platform,3.36,1.36,0.07,0.21,5.0
PS2,2007.0,Misc,3.49,0.01,0.01,1.48,4.98
Wii,2007.0,Shooter,3.05,1.17,0.29,0.46,4.98
X360,2008.0,Role-Playing,3.4,0.99,0.09,0.45,4.94
DS,2007.0,Role-Playing,1.83,1.19,1.54,0.37,4.93
WiiU,2014.0,Fighting,2.63,1.1,0.82,0.38,4.93
PS3,2007.0,Action,2.32,1.72,0.12,0.77,4.92
PS2,2005.0,Sports,3.98,0.26,0.01,0.66,4.91
N64,1997.0,Racing,2.91,0.99,0.89,0.1,4.88
PSP,2010.0,Role-Playing,0.0,0.0,4.87,0.0,4.87
PC,2010.0,Strategy,2.58,1.69,0.0,0.59,4.85
NES,1990.0,Puzzle,2.62,0.6,1.52,0.1,4.85
PS3,2007.0,Adventure,1.91,2.0,0.09,0.82,4.82
PS3,2010.0,Action,2.74,1.34,0.12,0.61,4.8
PS4,2015.0,Action,2.13,1.79,0.09,0.79,4.8
PS,1999.0,Racing,2.57,1.57,0.44,0.21,4.79
DS,2007.0,Action,2.83,1.48,0.0,0.45,4.76
PS,2000.0,Action,2.36,2.1,0.02,0.25,4.73
X360,2011.0,Action,2.99,1.27,0.04,0.42,4.73
PS2,2003.0,Racing,1.73,2.19,0.0,0.79,4.7
PS,2000.0,Sports,3.05,1.41,0.02,0.2,4.68
PS2,2002.0,Action,1.94,1.95,0.08,0.7,4.67
PS,1996.0,Action,2.29,1.97,0.13,0.24,4.63
Wii,2008.0,Simulation,1.83,1.12,1.32,0.36,4.62
3DS,2013.0,Action,1.82,1.39,1.12,0.29,4.62
PS4,2014.0,Misc,1.62,2.13,0.14,0.73,4.62
XOne,2015.0,Shooter,2.86,1.29,0.03,0.42,4.61
SNES,1991.0,Action,2.42,0.91,1.15,0.13,4.61
GC,2002.0,Action,2.6,0.99,0.89,0.13,4.6
Wii,2007.0,Misc,3.04,1.11,0.0,0.43,4.6
X360,2011.0,Racing,2.08,1.97,0.06,0.46,4.57
WiiU,2015.0,Shooter,1.56,1.24,1.48,0.26,4.54
Wii,2009.0,Sports,1.87,1.96,0.22,0.48,4.53
PS2,2004.0,Sports,4.18,0.26,0.01,0.08,4.53
X360,2007.0,Misc,3.19,0.91,0.01,0.42,4.53
3DS,2011.0,Action,2.18,1.38,0.63,0.32,4.51
2600,1981.0,Platform,4.21,0.24,0.0,0.05,4.5
PS2,2006.0,Sports,3.63,0.24,0.01,0.61,4.49
PS2,2002.0,Action,2.71,1.51,0.03,0.23,4.48
WiiU,2013.0,Platform,2.18,1.23,0.73,0.34,4.47
PS,2000.0,Role-Playing,0.2,0.14,4.1,0.02,4.47
PS2,2005.0,Action,2.71,1.29,0.02,0.43,4.45
WiiU,2012.0,Misc,2.52,1.11,0.46,0.33,4.42
PS2,2001.0,Sports,2.66,1.29,0.01,0.46,4.41
PS2,2006.0,Sports,0.1,2.39,1.05,0.86,4.39
X360,2006.0,Role-Playing,2.83,1.03,0.13,0.4,4.39
NES,1987.0,Adventure,2.19,0.5,1.61,0.08,4.38
PS3,2014.0,Shooter,1.57,1.93,0.19,0.69,4.38
XOne,2015.0,Role-Playing,2.59,1.37,0.01,0.4,4.37
PS2,2005.0,Racing,2.03,1.79,0.08,0.47,4.37
Wii,2010.0,Misc,2.64,1.33,0.01,0.39,4.36
PS3,2006.0,Shooter,1.74,1.72,0.14,0.75,4.35
GEN,1991.0,Platform,3.03,0.91,0.26,0.13,4.34
PS2,2005.0,Role-Playing,2.2,0.58,1.38,0.17,4.33
X360,2014.0,Shooter,2.79,1.13,0.0,0.4,4.32
2600,1980.0,Shooter,4.0,0.26,0.0,0.05,4.31
PS3,2014.0,Sports,0.58,3.02,0.04,0.64,4.28
X360,2008.0,Role-Playing,2.51,1.24,0.11,0.41,4.27
PS3,2009.0,Action,2.24,1.31,0.07,0.61,4.24
GBA,2001.0,Misc,3.0,1.11,0.05,0.07,4.24
PS2,2004.0,Action,1.46,0.0,0.83,1.93,4.23
X360,2013.0,Sports,0.93,2.89,0.01,0.4,4.22
PS3,2011.0,Action,1.41,2.01,0.1,0.7,4.22
PSP,2006.0,Platform,2.45,1.01,0.0,0.75,4.21
PC,1995.0,Strategy,1.7,2.27,0.0,0.23,4.21
PS2,2005.0,Sports,0.78,2.55,0.04,0.84,4.21
PS2,2003.0,Misc,0.88,2.3,0.2,0.83,4.2
X360,2011.0,Action,2.25,1.47,0.04,0.43,4.2
PS3,2007.0,Racing,1.28,1.82,0.57,0.52,4.19
X360,2011.0,Sports,0.85,2.78,0.02,0.53,4.18
NES,1989.0,Action,3.38,0.44,0.31,0.04,4.17
PS3,2009.0,Fighting,2.03,1.04,0.58,0.52,4.17
NES,1984.0,Racing,2.04,0.48,1.57,0.07,4.16
PS,1997.0,Action,3.79,0.27,0.0,0.11,4.16
PS2,2002.0,Sports,3.36,0.21,0.01,0.56,4.14
PS4,2015.0,Role-Playing,1.07,2.22,0.23,0.62,4.14
PC,1997.0,Shooter,4.03,0.0,0.09,0.0,4.12
SNES,1995.0,Platform,1.65,0.61,1.76,0.09,4.12
PS2,2006.0,Sports,0.71,2.48,0.03,0.89,4.11
SNES,1992.0,Fighting,1.42,0.51,2.1,0.07,4.1
PS4,2014.0,Action,1.4,1.93,0.11,0.65,4.09
PC,2007.0,Role-Playing,2.57,1.52,0.0,0.0,4.09
PS4,2015.0,Action,1.59,1.73,0.11,0.66,4.09
PS2,2007.0,Action,2.32,0.04,0.04,1.67,4.07
PS4,2014.0,Shooter,1.15,2.18,0.1,0.63,4.06
X360,2010.0,Role-Playing,2.66,1.03,0.04,0.33,4.06
PS2,2005.0,Sports,0.12,2.26,0.9,0.77,4.06
Wii,2007.0,Misc,2.12,1.47,0.05,0.42,4.05
X360,2007.0,Racing,2.35,1.27,0.03,0.41,4.05
PS,1996.0,Misc,2.28,1.55,0.16,0.06,4.05
PS2,2000.0,Fighting,1.68,1.51,0.51,0.35,4.05
N64,1997.0,Shooter,2.78,0.58,0.64,0.04,4.03
NES,1984.0,Sports,1.22,0.28,2.46,0.04,4.01
PS4,2016.0,Shooter,1.37,1.85,0.15,0.63,4.0
PS4,2014.0,Action,1.2,2.09,0.08,0.63,3.99
PS2,2005.0,Misc,2.08,1.35,0.0,0.54,3.98
X360,2009.0,Shooter,2.67,0.87,0.05,0.38,3.97
PS3,2008.0,Role-Playing,2.16,1.13,0.07,0.59,3.95
Wii,2011.0,Action,2.03,1.17,0.37,0.38,3.95
DS,2007.0,Puzzle,0.9,1.76,0.92,0.37,3.94
PC,2011.0,Role-Playing,1.16,2.16,0.0,0.6,3.92
3DS,2011.0,Simulation,1.44,1.47,0.73,0.27,3.92
3DS,2014.0,Role-Playing,0.7,0.48,2.62,0.11,3.92
XOne,2015.0,Shooter,2.24,1.3,0.02,0.35,3.91
G,1994.0,Platform,1.97,0.76,1.07,0.11,3.91
Wii,2009.0,Sports,2.09,1.35,0.06,0.4,3.91
PS4,2015.0,Sports,2.51,0.66,0.04,0.69,3.9
PS2,2003.0,Sports,2.29,1.17,0.01,0.42,3.9
PS2,2005.0,Fighting,0.93,1.94,0.31,0.7,3.87
NES,1988.0,Role-Playing,0.1,0.0,3.77,0.0,3.87
PS3,2006.0,Racing,1.53,1.6,0.06,0.67,3.87
PS2,2004.0,Sports,0.16,1.89,1.12,0.68,3.85
PS3,2010.0,Sports,2.13,1.12,0.1,0.5,3.85
PS,1995.0,Misc,2.12,1.44,0.22,0.06,3.84
PS4,2013.0,Shooter,1.78,1.43,0.05,0.57,3.83
G,1992.0,Action,2.21,0.96,0.54,0.13,3.83
DS,2007.0,Misc,0.86,1.56,1.05,0.35,3.83
Wii,2007.0,Misc,1.05,1.91,0.41,0.42,3.79
PS,1996.0,Action,1.82,1.24,0.47,0.25,3.77
DS,2009.0,Role-Playing,2.23,0.47,0.81,0.26,3.77
X360,2008.0,Action,2.4,1.01,0.0,0.36,3.76
PC,2002.0,Simulation,2.03,1.56,0.0,0.17,3.76
PSP,2007.0,Platform,1.4,1.39,0.1,0.86,3.74
PS,2001.0,Action,1.37,2.0,0.14,0.22,3.73
PS3,2013.0,Action,1.33,1.69,0.13,0.57,3.72
Wii,2011.0,Sports,1.12,1.87,0.27,0.45,3.72
PS,1999.0,Action,1.3,0.77,1.54,0.11,3.72
Wii,2007.0,Platform,1.95,0.86,0.59,0.31,3.72
PS,2000.0,Platform,1.93,1.58,0.0,0.19,3.71
PS2,2004.0,Sports,0.58,2.48,0.04,0.59,3.7
G,1998.0,Strategy,1.49,0.73,1.38,0.1,3.7
DS,2009.0,Misc,0.0,0.0,3.67,0.0,3.67
PS2,2002.0,Sports,2.13,1.18,0.01,0.35,3.67
DS,2007.0,Simulation,1.58,1.59,0.08,0.41,3.66
PSP,2005.0,Racing,1.65,1.21,0.0,0.79,3.65
N64,1998.0,Platform,1.87,1.13,0.55,0.1,3.65
PS2,2002.0,Shooter,2.53,0.81,0.06,0.24,3.65
PS2,2001.0,Platform,2.08,1.09,0.15,0.33,3.64
N64,1999.0,Simulation,2.23,0.68,0.66,0.06,3.63
PS2,2007.0,Sports,0.05,0.0,0.64,2.93,3.63
PS2,2005.0,Action,2.08,0.83,0.46,0.25,3.62
PS3,2009.0,Sports,0.6,2.45,0.05,0.52,3.62
Wii,2008.0,Misc,2.32,0.96,0.0,0.34,3.62
PS4,2013.0,Shooter,1.37,1.55,0.17,0.52,3.61
PS2,2004.0,Shooter,1.93,1.22,0.03,0.44,3.61
PC,1994.0,Shooter,2.05,1.4,0.0,0.16,3.61
PS2,2001.0,Racing,2.02,1.17,0.0,0.42,3.61
GC,2001.0,Action,2.38,0.67,0.46,0.1,3.6
Wii,2013.0,Misc,1.89,1.39,0.0,0.31,3.59
PS2,2005.0,Shooter,2.18,1.02,0.03,0.37,3.59
DS,2007.0,Simulation,1.6,1.49,0.1,0.39,3.58
PS,2000.0,Fighting,2.01,1.35,0.06,0.16,3.58
PS,1997.0,Platform,1.57,1.79,0.0,0.2,3.56
XOne,2016.0,Shooter,2.25,0.98,0.0,0.33,3.56
XOne,2014.0,Action,2.32,0.9,0.0,0.33,3.56
PS2,2006.0,Action,1.56,1.4,0.07,0.5,3.54
PS2,2002.0,Action,1.23,1.77,0.05,0.49,3.54
PS,1997.0,Action,1.66,1.58,0.12,0.18,3.54
PS2,2001.0,Shooter,1.9,1.13,0.1,0.41,3.53
PS2,2005.0,Action,1.98,1.14,0.01,0.41,3.53
PS,2000.0,Action,1.96,1.33,0.0,0.23,3.52
X360,2010.0,Sports,0.71,2.39,0.02,0.4,3.52
PS,1999.0,Platform,2.14,1.21,0.01,0.17,3.52
X360,2008.0,Shooter,2.66,0.49,0.05,0.3,3.51
SNES,1996.0,Platform,1.17,0.5,1.75,0.08,3.51
X360,2009.0,Action,2.11,0.93,0.12,0.34,3.5
NES,1985.0,Action,1.64,0.38,1.42,0.06,3.5
X360,2010.0,Action,2.85,0.38,0.03,0.24,3.5
PS3,2013.0,Shooter,1.31,1.42,0.27,0.5,3.5
PS2,2003.0,Sports,0.59,2.36,0.04,0.51,3.49
X360,2013.0,Shooter,2.15,1.02,0.02,0.31,3.49
X360,2009.0,Action,2.21,0.95,0.02,0.31,3.49
X360,2010.0,Shooter,2.1,1.01,0.04,0.32,3.48
XOne,2015.0,Shooter,2.78,0.34,0.0,0.36,3.47
DS,2009.0,Sports,1.21,1.62,0.27,0.37,3.46
DS,2008.0,Misc,2.1,1.01,0.01,0.35,3.46
DS,2006.0,Misc,0.59,1.79,0.73,0.34,3.45
X360,2009.0,Shooter,2.4,0.71,0.03,0.29,3.44
3DS,2013.0,Role-Playing,0.0,0.0,3.44,0.0,3.44
PS4,2015.0,Action,0.84,2.01,0.07,0.53,3.44
PS2,2002.0,Fighting,1.55,1.27,0.33,0.29,3.44
XOne,2016.0,Shooter,2.14,0.97,0.01,0.32,3.44
PS4,2015.0,Action,1.1,1.36,0.49,0.48,3.43
SNES,1994.0,Role-Playing,0.86,0.0,2.55,0.02,3.42
PS,1998.0,Action,1.13,2.07,0.0,0.22,3.42
PS2,2004.0,Action,1.75,1.2,0.02,0.43,3.41
G,1990.0,Racing,1.73,0.69,0.59,0.4,3.41
PS3,2011.0,Platform,1.83,1.05,0.06,0.46,3.4
X360,2008.0,Action,2.04,1.03,0.0,0.32,3.4
PS2,2002.0,Sports,0.46,2.28,0.05,0.61,3.4
PS,2000.0,Misc,1.56,1.47,0.19,0.17,3.39
XOne,2014.0,Shooter,2.14,0.92,0.0,0.31,3.38
3DS,2015.0,Action,0.29,0.23,2.8,0.05,3.37
PS4,2016.0,Role-Playing,1.01,1.12,0.81,0.42,3.37
PS,1998.0,Fighting,2.47,0.76,0.0,0.13,3.36
N64,2000.0,Action,1.9,0.67,0.73,0.06,3.36
PS3,2012.0,Shooter,0.88,1.7,0.1,0.67,3.35
PS,1998.0,Adventure,1.63,1.53,0.0,0.18,3.34
3DS,2014.0,Role-Playing,0.13,0.0,3.18,0.02,3.33
DS,2006.0,Misc,0.0,0.99,2.32,0.02,3.33
PS2,2002.0,Shooter,1.45,1.29,0.12,0.46,3.33
PS2,2002.0,Platform,1.44,1.01,0.57,0.3,3.33
PS2,2005.0,Action,1.47,1.39,0.03,0.43,3.32
DS,2009.0,Action,1.4,0.91,0.74,0.26,3.31
PS2,2001.0,Shooter,1.99,1.05,0.05,0.22,3.31
XOne,2014.0,Shooter,1.98,1.0,0.03,0.3,3.31
X360,2013.0,Action,1.9,1.11,0.01,0.29,3.31
XOne,2014.0,Misc,1.97,1.04,0.0,0.3,3.3
PS2,2003.0,Action,1.5,1.28,0.05,0.46,3.28
WiiU,2015.0,Platform,1.21,0.92,0.95,0.2,3.28
PS3,2013.0,Racing,0.74,1.68,0.4,0.45,3.28
